edition,id,author,username,url,title,has_video,video_count,created_at,body
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2OTQ5MV0=,,,https://contra.com/community/Mgs6UZll-elevate-user-experience-with-secret-feelings,,True,1,2025-09-09T23:37:34,
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MDE4NV0=,,,https://contra.com/community/lXrMWALr-designers-escape-room-adventure-built-in,We built Escape the Workday - a tiny Severance TV series–inspired escape room fo,True,1,2025-09-10T15:41:00,"We built Escape the Workday - a tiny Severance TV series–inspired escape room for designers, made in Figma Make ✨ You’re stuck at a retro workstation with a to-do list on the wall: finish the tasks to escape.Link –  Every interaction is alive:
💡 Toggle the desk lamp
🗑️ Drag “Old Files” to Trash
✍️ T"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2OTc5Ml0=,,,https://contra.com/community/cPZM7mEZ-explore-figma-the-dating-simulator56-unique,Have you ever felt like you’ve spent so much time in Figma that it feels like yo,False,0,2025-09-10T07:16:23,"Have you ever felt like you’ve spent so much time in Figma that it feels like you’re dating it? Well, now you can with “Figma: The Dating Simulator” with 56 total unique endings!Romance these four Figma features brought to life: Frame, Style, Variant, and Prototype.Will passion align… or will you ju"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MDA5OF0=,,,https://contra.com/community/blbcUE6U-prefer-design-it-is-my-first,"Hi, Creatives! It was my first coding-but-not-coding nights ( I’m really far fro",False,0,2025-09-10T13:49:12,"Hi, Creatives! It was my first coding-but-not-coding nights ( I’m really far from coding, I prefer Design. It is my first Make-a-thon.
And here is my FINAL SUBMISSION.

CTRL+Fate — Interactive Tarot for Designers
CTRL your path. Fate reveals the rest.

Pick a card and instead of dry theory, you rece"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk4N10=,,,https://contra.com/community/lZgbRAmF-optimal-figma-prompt-outline-for-beginners,"From all the vibe coding tools I've tried, the Figma team provided the best prom",False,0,2025-09-11T07:01:12,"From all the vibe coding tools I've tried, the Figma team provided the best prompt outline. Shared it on this tweet for beginners:

 "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk4MV0=,,,https://contra.com/community/mQmWglR3-enhance-your-german-interactive-flashcard-game,I've been studying german and made a  I like to play with my physical flash card,False,0,2025-09-11T07:00:02,"I've been studying german and made a  I like to play with my physical flash cards: select a language level (from A1 to C), get shown a few flashcards at random, then make up a sentence or short story using those words. This was entirely done using Make, since I wanted to see what it would do. "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk1NF0=,,,https://contra.com/community/kYkmXOWZ-transform-any-recipe-into-9-easy,Here's our : a fully functional mobile website that lets you cook any recipe fro,True,1,2025-09-11T06:58:37,"Here's our : a fully functional mobile website that lets you cook any recipe from the internet in just 9 steps! 
Simply paste the recipe blog link, and we'll convert it into 9 easy steps, complete with AI-generated images and content for each step. 
You can then work through them like a checklist to"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk0OV0=,,,https://contra.com/community/WWYmFUrW-collaboration-platform-built-for-designers-and,"Hi everyone 👋, here’s my submission for the Figma Hackathon!Meet Jottyme — a fee",False,0,2025-09-11T06:58:30,"Hi everyone 👋, here’s my submission for the Figma Hackathon!Meet Jottyme — a feedback and collaboration platform built for designers and teams. With Jottyme, you can upload a link, PDF, or image, share it with clients, and gather clear, contextual feedback — all in one place.The goal was simple: tak"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk0N10=,,,https://contra.com/community/3QWA7ERr-nurture-nest-a-luxe-wellness-website-for," Pregnancy brings mood swings, food cravings/aversions, nerves, and “what now?” ",True,1,2025-09-11T06:58:26," Pregnancy brings mood swings, food cravings/aversions, nerves, and “what now?” moments, we built a gentle, NurtureNest — the cutest luxury wellness you can click. From a single prompt, we crafted a pastel‑dream website: 3D floating mascots, butter‑smooth typewriter headlines, magnetic logo carousel"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTg4Nl0=,,,https://contra.com/community/eZvMgqWN-discover-your-personality-with-our-interactive,Pizza Person — The Universal IcebreakerAn interactive pizza builder that transfo,False,0,2025-09-11T06:55:52,"Pizza Person — The Universal IcebreakerAn interactive pizza builder that transforms your topping choices into a Personality Card, giving groups a fun, instant conversation starter at any gathering.Food is a universal language...and who doesn't love pizza?Make your pizza, discover your personality!

"
